,x,,,
292,casear grunt,,,
293,yellow jack,,,
294,black durgan?,,,
295,black snapper,,,
296,create wresso,,,
297,crevalla jack,,,
298,grey snapper,,,
299,mackeral ,,,
300,nassau grouper,,,
301,rock hind,,,
302,spanish hog fish,,,
303,white spotted tilefish,,,
304,goat fish,,,
305,grasby,,,
306,,,,
307,no catch,,,
308,no catch ,,,
309,no catch - came back in because current was too strong,,,
310,no catch due to strong current,,,
311,no data,,,
312,no data ,,,
313,gar ,,,
314,bungi (atlantic bigeye),,,
315,snit,,,
316,crevalle jack,,,
317,porgy,,,
318,kingfish,,,
319,redhind,,,
320,longjaw squirrel,,,
321,mutton grouper,,,
322,sand snapper,,,
323,blue parrotfish,,,
324,pudding fish,,,
325,tuna,,,
326,tuna ,,,
327,cesear grunt,,,
328,honeycomb grouper,,,
329,horseeye jack,,,
330,grouper,,,
331,shark (lemon),,,
332,spanish mackerel,,,
333,doctofish,,,
334,african pompano,,,
335,ceasar grunt,,,
336,black durgon,,,
337,dotor,,,
338,filefish,,,
339,glass eye snapper,,,
340,passau grouper,,,
341,rockbeauty,,,
342,rockfish,,,
343,black durgan,,,
344,vermilion snapper,,,
345,jolgheaded porgy,,,
346,virgin snapper,,,
347,ceaser grunt,,,
348,creole wrasse,,,
349,mahogony snapper,,,
350,amber jack,,,
351,cesar grunt,,,
352,glasseye snapper,,,
353,jolfhead polrgy,,,
354,red hind ,,,
355,suckfish,,,
356,vermillon snapper,,,
357,dolphin ,,,
358,ocean triggerfish,,,
359,rocky beauty,,,
360,white margate,,,
361,black beauty,,,
362,creoloe wrasse,,,
363,french angelfish,,,
364,bonita,,,
365,cero mackerel,,,
366,blaneeye,,,
367,bluetang,,,
368,pork fish,,,
369,queen angelfish,,,
370,na,,,
371,no data collected,,,
372,none,,,
373,NA,,,
374,snapper,,,
375,mixed fish,,,
376,dolphin fish,,,
377,parrotfish,,,
378,gray angelfish,,,
379,robin (sprat),,,
380,white spotted file fish,,,
381,almaco jack (comad),,,
382,tarpon / bass,,,
383,spotted parrotfish,,,
384,burgu,,,
385,king fish,,,
386,ten pounder,,,
387,redband parrotfish,,,
388,spotted goatfish,,,
389,mackerel,,,
390,sprat,,,
391,cotton tail silk,,,
392,pot fish,,,
393,redtail parrot,,,
394,black grunt,,,
395,cero mackeral,,,
396,striped grunt,,,
397,spanish mackeral,,,
398,ceco makeral,,,
399,classic grunt,,,
400,glossy snapper,,,
401,gray snapper,,,
402,gray trigger,,,
403,yellowjack,,,
404,n/a,,,
