Parameter,Species,Value,Source,,,,,,,,,,
t0,LUTJVI,-1.87,SEDAR26 Base,,,,,,,,,,
tmax,LUTJVI,9,SEDAR26 Base,,,,,,,,,,
M,LUTJVI,0.21,SEDAR26 Base,,,,,,,,,,
M,LUTJVI,0.332859142,Estimated from tmax,,,,,,,,,,
Wa,LUTJVI,0.0373,Bohnsack & Harper 1988,,,,,,,,,,
Wb,LUTJVI,2.7812,Bohnsack & Harper 1988,,,,,,,,,,
m50,LUTJVI,32.78846154,SEDAR26 Base,,,,,,,,,,
m95,LUTJVI,37.37884615,SEDAR26 Base,,,,,,,,,,
Linf,LUTJSY,45.49,Martinez-Andrade 2003,,,,,,,,,,
K,LUTJSY,0.27,Martinez-Andrade 2003,,,,,,,,,,
t0,LUTJSY,-0.815,Martinez-Andrade 2003,,,,,,,,,,
tmax,LUTJSY,12.2,Martinez-Andrade 2003,,,,,,,,,,
M,LUTJSY,0.73,Martinez-Andrade 2003,,,,,,,,,,
M,LUTJSY,0.245551826,Estimated from M-A tmax,,,,,,,,,,
Linf,LUTJSY,59.566,Ault et al 1998,,,,,,,,,,
K,LUTJSY,0.097,Ault et al 1998,,,,,,,,,,
t0,LUTJSY,-1.728,Ault et al 1998,,,,,,,,,,
M,LUTJSY,0.3,Ault et al 1998,,,,,,,,,,
Wa,LUTJSY,0.0202,Bohnsack & Harper 1988,,,,,,,,,,
Wb,LUTJSY,3,Bohnsack & Harper 1988,,,,,,,,,,
m50,LUTJSY,,,,,,,,,,,,
m95,LUTJSY,,,,,,,,,,,,
Linf,SCARCH,23.7,SEDAR26 Base,,,,,,,,,,
K,SCARCH,0.71,SEDAR26 Base,,,,,,,,,,
t0,SCARCH,-0.05,SEDAR26 Base,,,,,,,,,,
tmax,SCARCH,7,SEDAR26 Base,,,,,,,,,,
M,SCARCH,0.427961753,Estimated from SEDAR26 tmax,,,,,,,,,,
Linf,SCARCH,32.025,Murray & Aiken 2006,,FL,,,,,,,,
K,SCARCH,0.36,Murray & Aiken 2006,,,,,,,,,,
t0,SCARCH,0,Murray & Aiken 2006,,,,,,,,,,
M,SCARCH,0.697,Murray & Aiken 2006,,,,,,,,,,
Wa,SCARCH,0.02,SEDAR26 Base,,TL,,,,,,,,
Wb,SCARCH,3,SEDAR26 Base,,TL,,,,,,,,
m50,SCARCH,21.97539,SEDAR26 Base,,FL,,,,,,,,
m95,SCARCH,25.0519446,SEDAR26 Base,,FL,,,,,,,,
Linf,SERRFU,37.7,Burton et al 2015,,,,,,,,,,
K,SERRFU,0.2,Burton et al 2015,,,,,,,,,,
t0,SERRFU,-3.53,Burton et al 2015,,,,,,,,,,
tmax,SERRFU,19,Burton et al 2015,,,,,,,,,,
M,SERRFU,0.22,Burton et al 2015 (Hewitt&Hoenig method),,,,,,,,,,
M,SERRFU,0.15767012,Estimated from Burton tmax,,,,,,,,,,
Linf,SERRFU,46.5,Kishore & Chin 2001,,,,,,,,,,
K,SERRFU,0.15,Kishore & Chin 2001,,,,,,,,,,
t0,SERRFU,-2.409,Kishore & Chin 2001,,,,,,,,,,
Wa,SERRFU,0.0174,Bohnsack & Harper 1988,,"parameter calculated for FL, not TL",,,,,,,,
